txn_date,total_transactions,total_amount,total_biller_fee
2025-08-01,942,282519,1129.24
2025-08-02,892,260607,1039.69
2025-08-03,901,269715,1071.34
2025-08-04,823,244733,979.43
2025-08-05,884,260503,1036.13
2025-08-06,875,258186,1044.63
2025-08-07,825,260301,1043.82
2025-08-08,902,265496,1065.34
2025-08-09,911,260039,1044.22
2025-08-10,883,270326,1075.73
2025-08-11,957,296831,1170.24
2025-08-12,867,269628,1076.72
2025-08-13,844,237955,958.16
2025-08-14,929,289616,1155.04
2025-08-15,899,271872,1084.92
2025-08-16,937,289876,1159.8700000000001
2025-08-17,882,261972,1050.88
2025-08-18,1402,425460,1700.49
2025-08-19,1427,420586,1663.1
2025-08-20,1438,436434,1753.91
2025-08-21,939,286645,1144.69
2025-08-22,924,262079,1048.07
2025-08-23,931,304685,1221.38
2025-08-24,906,262513,1055.91
2025-08-25,901,267511,1052.71
2025-08-26,924,278315,1106.0
2025-08-27,857,248065,1000.13
2025-08-28,870,263008,1062.63
2025-08-29,955,273774,1100.04
2025-08-30,917,276624,1095.08
2025-08-31,873,264282,1064.9
2025-09-01,804,218735,874.56
2025-09-02,752,224972,905.2
2025-09-03,764,226318,907.37
2025-09-04,712,215345,860.46
2025-09-05,757,216414,870.67
2025-09-06,1090,312603,1234.7
2025-09-07,1087,340809,1372.15
2025-09-08,1129,339264,1356.2
2025-09-09,735,220690,889.63
2025-09-10,759,223687,901.38
2025-09-11,812,247415,983.3
2025-09-12,777,238438,943.87
2025-09-13,823,256418,1033.04
2025-09-14,760,230618,921.91
2025-09-15,784,220268,890.67
2025-09-16,796,238690,949.76
2025-09-17,820,250892,1010.42
2025-09-18,811,243231,974.67
2025-09-19,724,221281,883.45
2025-09-20,800,244458,975.53
2025-09-21,803,231158,927.54
2025-09-22,751,236348,951.14
2025-09-23,772,228717,913.67
2025-09-24,795,234364,940.4
2025-09-25,757,240348,958.92
2025-09-26,812,237030,948.33
2025-09-27,791,249604,1011.47
2025-09-28,727,216321,857.34
2025-09-29,727,218261,861.25
2025-09-30,1137,334531,1337.29
2025-10-01,1573,476703,1917.54
2025-10-02,1616,488713,1946.68
2025-10-03,1017,295061,1188.68
2025-10-04,1047,313225,1259.46
2025-10-05,1073,325667,1300.71
2025-10-06,1086,309592,1243.74
2025-10-07,1079,321880,1289.16
2025-10-08,1015,309880,1244.72
2025-10-09,1026,301575,1225.51
2025-10-10,1964,586663,2342.96
2025-10-11,1913,574459,2290.81
2025-10-12,1918,568307,2267.31
2025-10-13,1042,309504,1238.32
2025-10-14,1092,324358,1293.5
2025-10-15,1125,326152,1306.27
2025-10-16,992,299848,1196.64
2025-10-17,1038,302964,1225.86
2025-10-18,1023,307719,1231.29
2025-10-19,2272,670361,2668.61
2025-10-20,4520,1413830,5646.15
2025-10-21,4442,1345632,5389.34
2025-10-22,1940,578513,2310.14
2025-10-23,1056,307075,1240.21
2025-10-24,1049,305083,1237.83
2025-10-25,1071,319048,1280.77
2025-10-26,1049,306492,1233.03
2025-10-27,1096,327433,1302.83
2025-10-28,1080,309063,1245.69
2025-10-29,1092,349808,1407.56
2025-10-30,1349,400430,1595.8
2025-10-31,1360,418069,1692.03
